tls,lat,lon
tls_01_0,40.383903,-3.625612
tls_02_0,40.383546,-3.625941
tls_02_1,40.383511,-3.625945
tls_03_0,40.383235,-3.627628
tls_03_1,40.383206,-3.627626
tls_04_0,40.383216,-3.627852
tls_04_1,40.383216,-3.627852
tls_05_0,40.383073,-3.629696
tls_05_1,40.383048,-3.629674
tls_06_0,40.383129,-3.630277
tls_06_1,40.383103,-3.630292
tls_07_0,40.383895,-3.632305
tls_07_1,40.383871,-3.632328
tls_07_2,40.383849,-3.632352
tls_08_0,40.384429,-3.633384
tls_08_1,40.384403,-3.633411
tls_08_2,40.384378,-3.633435
tls_09_0,40.385693,-3.636197
tls_09_1,40.385661,-3.636213
tls_10_0,40.3863,-3.637617
tls_10_1,40.386277,-3.637637
tls_11_0,40.386841,-3.638826
tls_11_1,40.386819,-3.638845
tls_12_0,40.387424,-3.640011
tls_12_1,40.38739,-3.640037
tls_12_2,40.387362,-3.640059
tls_13_0,40.387818,-3.640073
tls_13_1,40.387829,-3.640098
tls_14_0,40.388821,-3.639306
tls_14_1,40.388833,-3.639333
tls_15_0,40.389089,-3.639387
tls_16_0,40.390491,-3.642495
tls_17_0,40.390607,-3.642839
tls_17_1,40.390566,-3.642854
tls_18_0,40.390381,-3.643129
tls_18_1,40.390363,-3.643089
tls_19_2,40.390357,-3.643071
tls_20_0,40.390183,-3.643268
tls_20_1,40.390162,-3.643235
tls_20_2,40.390154,-3.643224
tls_21_0,40.389469,-3.643796
tls_21_1,40.389443,-3.643776
tls_21_2,40.389418,-3.643758
tls_22_0,40.389139,-3.644078
tls_22_1,40.389124,-3.644042
tls_22_2,40.389106,-3.644001
tls_23_0,40.388924,-3.644215
tls_23_1,40.388907,-3.644173
tls_24_0,40.387919,-3.644967
tls_24_1,40.387903,-3.644935
tls_25_0,40.387795,-3.645063
tls_25_1,40.387778,-3.645028
tls_26_0,40.387625,-3.644975
tls_26_1,40.387647,-3.644957
tls_27_0,40.387533,-3.644762
tls_27_1,40.387554,-3.644745
tls_28_0,40.387128,-3.640606
tls_28_1,40.387128,-3.640606
tls_29_0,40.387283,-3.640338
tls_29_1,40.38731,-3.640373
tls_29_2,40.387336,-3.640409
tls_30_0,40.387297,-3.640197
tls_30_1,40.387331,-3.640181
tls_31_0,40.386764,-3.638987
tls_31_1,40.38679,-3.638968
tls_32_0,40.386223,-3.637771
tls_32_1,40.386248,-3.637753
tls_33_0,40.385574,-3.636343
tls_33_1,40.385608,-3.636325
tls_33_2,40.385641,-3.636307
tls_34_0,40.384331,-3.633574
tls_34_1,40.384356,-3.633553
tls_35_0,40.383978,-3.632819
tls_35_1,40.384003,-3.6328
tls_36_0,40.383815,-3.632458
tls_36_1,40.38384,-3.632439
tls_37_0,40.383051,-3.630412
tls_37_1,40.383076,-3.630397
tls_38_0,40.382958,-3.629807
tls_38_1,40.382986,-3.629818
tls_39_0,40.383097,-3.628083
tls_39_1,40.383124,-3.628087
tls_40_0,40.383128,-3.627692
tls_40_1,40.383155,-3.627695
tls_41_0,40.383392,-3.625994
tls_41_1,40.383419,-3.625994
